作物,编号,难度,query,gold_sla,gold_vga
大麦,B-Q11,L2,找一些营养价值极高的越冬大麦品种，蛋白要在15%以上，赖氨酸也得越过0.5%的门槛。,"冬春性, 粗蛋白, 赖氨酸, 总淀粉","粗蛋白 > 15；赖氨酸 > 0.5；冬春性=""冬""；总淀粉>=60.0"
大麦,B-Q12,L2,有没有那种个头不高，但结出的穗子却特别长的大麦材料？,"株高, 穗长",株高 < 80；穗长 > 10
大麦,B-Q13,L2,推荐几个对黄矮病和条纹病都有一定防御能力的大麦品种，至少得是中等抗性起步。,"黄矮抗性, 条纹病抗性, 黄矮严重度, 条纹病病率","黄矮抗性 IN (""高抗"",""抗"",""中抗"")；条纹病抗性 IN (""高抗"",""抗"",""中抗"")；黄矮严重度<=3.0；条纹病病率<=10.0；"
大麦,B-Q14,L2,找能在盐碱地长得很好，并且泡水后表现不算太差的大麦材料。,"耐盐级别, 耐涝级别",耐盐级别 = 2；耐涝级别 <= 3
大麦,B-Q15,L2,帮我找那种长得特别茂盛的大麦，叶子又大又长，而且非常能生发分蘖。,"分蘖力, 叶长, 叶宽","叶宽 > 2；叶长 > 25；分蘖力=""强"""
大麦,B-Q16,L2,田间表现比较健康的六排型大麦品种，要求极少感染赤霉病，并且几乎不怎么得黄花病。,"棱型, 赤霉病抗性, 赤霉病指数, 黄花叶抗性, 黄花发病率, 赤霉病穗率","棱型=""六棱""；赤霉病抗性=""抗""；赤霉病抗性=""中抗""；赤霉病指数<=5.0；黄花叶抗性=""抗""；黄花叶抗性=""中抗""；黄花发病率<=5.0；"
大麦,B-Q17,L2,有没有那种走“少而精”路线的大麦材料，单棵结穗没几个，但每一粒都硕大无比？,"单株穗数, 千粒重",千粒重 > 50；单株穗数 < 4
大麦,B-Q18,L2,我想挑一些适合拿来酿酒的潜力股，淀粉要足，蛋白要尽量低，但千万别给我那些成熟太晚的大麦。,"总淀粉, 粗蛋白, 成熟期","总淀粉 > 60；粗蛋白 < 10；当地成熟型 != ""晚熟"""
大麦,B-Q19,L2,找一下那种穗子特别密实的材料，小穗要超30个，整穗能打下60多粒的那种大麦。,"小穗数, 穗粒数",小穗数 > 30；穗粒数 > 60
大麦,B-Q20,L2,推荐几个在黄花病面前表现最稳的大麦资源，不仅抗性评级要过关，实际发病黄化程度也要是最轻微的。,"黄花叶抗性, 黄花黄化度","黄花黄化度 = 1；黄花叶抗性=""抗"""
大麦,B-Q21,L3,帮我寻觅一种理想的超级大麦：不仅要具备超大籽粒和双高品质，同时还必须是个矮壮的底座。,"千粒重, 粗蛋白, 赖氨酸, 株高, 茎秆直径",千粒重>60；总淀粉>65；粗蛋白>18；株高<60；茎秆直径>0.68
大麦,B-Q22,L3,我需要一个全能型的大麦抗逆亲本，三大常见病害都要能抗，同时在旱、涝、盐碱等极端环境下的评级都必须达到最顶级的1到2级水平。,"赤霉病抗性, 黄矮抗性, 条纹病抗性, 抗旱级别, 耐涝级别, 耐盐级别","三病害=""抗""；抗旱=1；耐涝=1；耐盐=2"
大麦,B-Q23,L3,挑战一个打破常规的产量结构：有没有那种结穗特别多、每穗籽粒密，甚至连单粒都极大的六排型大麦？别要那些熟得太早的。,"棱型, 单株穗数, 穗密度, 千粒重, 成熟期, 穗粒数, 生育周期","单株穗数>20；穗粒数>80；千粒重>50；棱型=""六棱""；当地成熟型!=""早熟"""
大麦,B-Q24,L3,找一种能做优质青贮饲料的春季大麦品种，营养得极好，叶片要修长，而且得对黄花叶病有很强抵抗力，田间发病率不能超过5%。,"冬春性, 粗蛋白, 叶长, 黄花叶抗性, 黄花发病率","粗蛋白>16；赖氨酸>0.65；叶长>30；抗性=""抗""；发病率<5；冬春性=""春"""
大麦,B-Q25,L3,有没有那种贴地生长但顶着巨穗的大麦？同时要求它的健康指数极佳，赤霉和条纹病的感染指标都必须压在2以内。,"株高, 穗长, 小穗数, 赤霉病指数, 条纹病病率",株高<50；穗长>12；小穗数>35；赤霉病指数<2.0；条纹病病率<2
大麦,B-Q26,L3,找一种生命力极度顽强的大麦品种，水淹、干旱都按最高标准不怕，稍微带点盐碱也行，而且特别能生发，同时感染黄矮病后症状还要极轻。,"耐涝级别, 抗旱级别, 耐盐级别, 分蘖力, 黄矮严重度","耐涝=1；耐盐=2；抗旱=1；分蘖力=""强""；单株穗数>15；黄矮严重度<=2"
大麦,B-Q27,L3,帮我在库里捞几个长相极其稀罕的大麦材料：要有紫色的叶耳，黑色的穗和芒，芒还不能扎手，穗子是垂着的。顺便看看有没有同时满足高淀粉且极低蛋白的。,"叶耳色, 穗和芒色, 穗姿, 芒性, 总淀粉, 粗蛋白","叶耳色=""紫""；穗和芒色=""黑""；芒形=""平滑""；穗姿=""下垂""；总淀粉>60；粗蛋白<8"
大麦,B-Q28,L3,我在找一个完美的啤酒酿造大麦亲本：二棱型，淀粉得非常高，蛋白必须精准卡在9到10.5之间，籽粒要大，而且不怕泡水还要能抗赤霉病。,"棱型, 粗蛋白, 总淀粉, 千粒重, 耐涝级别, 赤霉病抗性","棱型=""二棱""；淀粉>65；蛋白 BETWEEN 9 AND 10.5；千粒重>45；赤霉=""抗""；耐涝=1"
大麦,B-Q29,L3,找一种把营养物质推到极限的大麦材料，但前提是它在田里绝对不能因为黄矮或黄花病变黄，这俩的病情严重度都必须是最低的1级。,"总淀粉, 粗蛋白, 赖氨酸, 黄矮严重度, 黄花黄化度",赖氨酸>0.7；粗蛋白>20；黄化度=1；严重度=1
大麦,B-Q30,L3,我需要一个能在极度缺水环境下依然保持极高产量的半矮秆大麦材料，要求它必须具备多穗、多粒、大粒的三大特征。,"抗旱级别, 株高, 单株穗数, 穗粒数, 千粒重",抗旱=1；单株穗数>15；穗粒数>60；千粒重>45；株高<80
水稻,R-Q01,L1,我想找一些做汤圆或者打糍粑比较好的水稻资源。,粘糯,"粘糯=""糯"""
水稻,R-Q02,L1,有没有那种在山区望天田里也能收成不错的水稻资源？,"水陆, 结实率, 有效穗数, 千粒重, 穗粒数, 原产地","水陆=""陆""；结实率>=85.0；有效穗数>=10.0；千粒重 BETWEEN 24.0 AND 28.0；"
水稻,R-Q03,L1,推荐几个能用来做双季稻抢农时的水稻品种。,"早中晚稻, 全生育期, 成熟期","早中晚稻 IN (""早"",""早中"",""极早"",""早早"",""中"",""中早"")；全生育期<=110.0；"
水稻,R-Q04,L1,帮我找找那些不容易发生倒伏的矮个子水稻材料。,株高,株高 < 100
水稻,R-Q05,L1,我想找那种煮出来米饭口感很软，但不完全是那种纯糯米的品种。,"粘糯, 籼粳亚种, 谷粒形状","粘糯 IN (""软米"",""粘"",""粘糯"")；粘糯!=""糯""；谷粒形状=""细长""；谷粒形状=""长椭""；谷粒形状 IN (""中长"",""长圆"")；籼粳亚种=""粳""；籼粳亚种=""籼粳中间""；"
水稻,R-Q06,L1,查一下那些光合作用接收面积特别大的宽叶片水稻。,剑叶宽,剑叶宽 > 2.0
水稻,R-Q07,L1,有没有那种自带颜色的特种稻，比如紫米红米类的都可以？,种皮色,"种皮色 IN ('红', '紫', '黑')；种皮色 != ""白""；种皮色 != ""无"""
水稻,R-Q08,L1,找一找那种单穗上结实特别密集的水稻种质。,"穗粒数, 穗长, 结实率",穗粒数>=150.0；结实率>=80.0；穗长 BETWEEN 18.0 AND 28.0；
水稻,R-Q09,L1,推荐一些籽粒长得特别饱满沉重的大粒水稻材料。,"千粒重, 粒宽, 谷粒形状","千粒重>=35.0；粒宽>=3.0；谷粒形状 IN (""圆"",""短圆"",""阔圆"",""椭园"",""阔卵"",""阔卵型"")；谷粒长宽比=""宽""；"
水稻,R-Q10,L1,帮我看看有没有那种做南方炒饭特别好的修长型大米。,"籼粳亚种, 谷粒形状, 谷粒长宽比, 粘糯","籼粳亚种 IN (""籼"",""籼粳中间"")；谷粒形状=""细长""；谷粒形状=""长椭""；谷粒形状=""中长""；谷粒长宽比=""窄""；谷粒长宽比=""长""；粘糯=""粘""；粘糯=""软米"""
水稻,R-Q11,L2,需要找个能扛台风的南方早熟籼稻，最好个头别太高。,"籼粳亚种, 早中晚稻, 株高, 原产地","籼粳亚种=""籼稻""；早中晚稻 LIKE ""%早%""；株高 < 100"
水稻,R-Q12,L2,有没有适合在低洼易涝地区种的，而且剑叶比较修长能保持水面呼吸的水稻资源？,"水陆, 剑叶长, 剑叶宽","水陆=""深水""；剑叶长 > 40"
水稻,R-Q13,L2,我想培育一种高档长粒香米，有没有细长粒且千粒重适中的常规粳稻？,"籼粳亚种, 谷粒形状, 谷粒长宽比, 千粒重","谷粒形状=""细长""；千粒重 BETWEEN 22 AND 26；籼粳亚种=""粳稻"""
水稻,R-Q14,L2,帮我找找光效潜力大的大穗型水稻材料：叶子要宽过2厘米，穗子得长过28厘米，而且空瘪率不能太高，结实得有八成以上。,"剑叶宽, 穗长, 结实率",剑叶宽 > 2.0；穗长 > 28；结实率 > 80
水稻,R-Q15,L2,找一些分蘖能力可能比较弱，但是单穗极其庞大，一穗能打两百多粒的重穗型水稻品种。,"有效穗数, 穗粒数",有效穗数 < 6；穗粒数 > 200
水稻,R-Q16,L2,有没有那种从国外拿回来的，做寿司口感特别好的短圆粒水稻？,"原产国, 谷粒形状, 粘糯, 籼粳亚种","原产国 != ""中国""；粘糯 IN (""软米"", ""粘"")；籼粳亚种=""粳稻"""
水稻,R-Q17,L2,我想找个生长期短、能赶在秋冷前收割的水稻品种，但前提是籽粒得充实，不能都是空壳。,"全生育期, 结实率, 成熟期",全生育期 < 110；结实率 > 85
水稻,R-Q18,L2,推荐几个外观奇特的观赏稻底子：比如它的颖壳和种皮颜色不一样，颖尖偏偏还是黑色的。,"颖壳色, 种皮色, 颖尖色","颖壳色 != 种皮色；颖尖色=""黑"""
水稻,R-Q19,L2,有没有那种粒型偏扁平，但是千粒重却很大的特殊水稻种质？,"谷粒形状, 谷粒长宽比, 千粒重, 粒宽",粒宽 > 3.5；千粒重 > 30
水稻,R-Q20,L2,找一下能在旱地当救灾作物种的早熟水稻品种，要求有效穗得多一些来弥补单穗小的缺点。,"水陆, 早中晚稻, 有效穗数","水陆=""陆""；早中晚稻 LIKE ""%早%""；有效穗数 > 10"
水稻,R-Q21,L3,我想突破水稻库源矛盾的瓶颈：需要一种剑叶长宽都处于中等偏上保证源充足，同时通常负相关的穗粒数和千粒重这俩库指标都能处于高位的理想株型。,"剑叶长, 剑叶宽, 穗粒数, 千粒重",剑叶长 BETWEEN 35 AND 45；剑叶宽 BETWEEN 1.8 AND 2.5；穗粒数 > 180；千粒重 > 28
水稻,R-Q22,L3,帮我捞几个能做‘吨粮田’超级稻的底子：单株有效穗不用太多，但必须是大穗大粒，穗长超28，每穗破200粒，千粒重稳在26以上，结实率还不能低于85%。,"穗长, 穗粒数, 千粒重, 结实率, 有效穗数",有效穗数 BETWEEN 8 AND 10；穗长 > 28；穗粒数 > 200；千粒重 > 26；结实率 > 85
水稻,R-Q23,L3,急需一种能在水资源极度匮乏的山区梯田推广的铁杆口粮稻：必须是陆稻，为了防风株高压在90以下，全生育期不能超过100天以避开秋旱，同时还要具备软米的口感。,"水陆, 株高, 全生育期, 粘糯","水陆=""陆""；株高 < 90；全生育期 < 100；粘糯=""软米"""
水稻,R-Q24,L3,有没有适合在湖泊蓄洪区种的水陆两栖潜力股：能适应深水环境，植株得足够高，但是结实率和千粒重不能因为环境恶劣而严重缩水，最好是籼稻。,"水陆, 籼粳亚种, 株高, 结实率, 千粒重","水陆=""深水""；株高 > 150；结实率 > 80；千粒重 > 25；籼粳亚种=""籼稻"""
水稻,R-Q25,L3,我想复原一种古老的特种祭祀稻：它必须同时具备红色的种皮、紫色的颖壳、黑色的颖尖，而且是极度粘糯的特性，最好还是个晚熟品种积累风味。,"种皮色, 颖壳色, 颖尖色, 粘糯, 早中晚稻","种皮色=""红""；颖壳色=""紫""；颖尖色=""黑""；粘糯=""糯""；早中晚稻 LIKE ""%晚%"""
水稻,R-Q26,L3,挑战一下高光效直立穗的株型构想：找那种剑叶极其短挺，穗子不长但结粒极其密集，株高在100到110之间完美接收冠层光照的水稻材料。,"株高, 剑叶长, 剑叶宽, 穗长, 穗粒数",剑叶长 < 30；剑叶宽 > 2.0；穗长 < 20；穗粒数 > 150；株高 BETWEEN 100 AND 110
水稻,R-Q27,L3,找一种打破常规的细长巨粒籼稻：通常细长粒重量轻，我要求长宽比大于3.5甚至4，形状标明细长，但千粒重偏偏要逆天地上到32克以上，有这种基因吗？,"籼粳亚种, 谷粒形状, 谷粒长宽比, 千粒重","谷粒长宽比 > 3.5；谷粒形状=""细长""；千粒重 > 32；籼粳亚种=""籼稻"""
水稻,R-Q28,L3,有没有适合东北积温低地区的高档饭团用米：不仅生育期要极其苛刻地卡在120到130天之间防早霜，还得是软米或者粘糯型，千粒重24克左右的小町米规格的常规粳稻。,"籼粳亚种, 全生育期, 粘糯, 千粒重, 原产地","全生育期 BETWEEN 120 AND 130；粘糯 IN (""软米"", ""粘糯"")；千粒重 BETWEEN 23 AND 25；籼粳亚种=""粳稻"""
水稻,R-Q29,L3,寻找极度依赖单穗爆发力的极端水稻种质：抛弃分蘖能力，把所有营养逼到主穗上，要求穗长突破30厘米，单穗达到惊人的250粒以上，并且在如此大库容下空瘪率极低。,"穗长, 穗粒数, 结实率, 有效穗数",有效穗数 < 5；穗长 > 30；穗粒数 > 250；结实率 > 88
水稻,R-Q30,L3,推荐几个能作为多熟制救场的极限早稻骨干：生育期被极限压缩在80天以内，为了短时间抢产量，灌浆速度必须极快，表现为千粒重能迅速冲过28克，且有效穗数多于12个以数量取胜。,"早中晚稻, 全生育期, 千粒重, 有效穗数","全生育期 < 80 OR 早中晚稻=""极早""；千粒重 > 28；有效穗数 > 12"
玉米,C-Q01,L1,推荐一些在地里出苗特别快的棒子，最好种下去不到一个星期就能看到苗的。,播种至出苗日数,播种至出苗日数 <= 7
玉米,C-Q02,L1,库里有没有那种剥开皮全是红色的特种老玉米？,"粒色, 种质名称",粒色 LIKE '%红%'
玉米,C-Q03,L1,找一些结出来的果穗特别粗壮的玉米品种。,穗粗,穗粗 > 4.0
玉米,C-Q04,L1,帮我筛一下适合做深加工提纯的高淀粉专用玉米品种。,"粗总淀粉, 粒型",粗总淀粉 > 72
玉米,C-Q05,L1,我想看看有没有那种长得特别矮小的微型玉米材料，植株别超过一米二。,株高,株高 <= 120
玉米,C-Q06,L1,有没有那种特别能榨油的高油玉米底子？,粗脂肪,粗脂肪 > 6.0
玉米,C-Q07,L1,查一下那种籽粒形状像马的牙齿一样的常见玉米品种。,粒型,粒型 LIKE '%马齿%'
玉米,C-Q08,L1,找一找那种一穗能打下特别多斤两的大粒型玉米。,"粒型, 千粒重, 穗长, 穗粗",千粒重>=450.0；穗粗>=5.5；穗长>=22.0；穗长>=18.0；
玉米,C-Q09,L1,推荐几个属于国际交换或者从外面引进过来的玉米品种。,"原产国, 原产地","原产国!=""中国""；原产国 IS NOT NULL"
玉米,C-Q10,L1,帮我看看有没有那种叶子特别多，能长三十多片的繁茂型玉米品种。,主茎叶片数,主茎叶片数 > 30
玉米,C-Q11,L2,需要找个在风口地区种不容易折断的玉米品种：要求植株高度中等，但是结穗的位置得比较低降低重心。,"株高, 穗位高",株高 BETWEEN 200 AND 230；穗位高 < 80
玉米,C-Q12,L2,有没有适合做高营养青贮饲料的硬粒型玉米品种？不仅要求脂肪高，蛋白也得达到13%以上才行。,"粒型, 粗脂肪, 粗蛋白",粒型 LIKE '%硬粒%'；粗脂肪 > 5.0；粗蛋白 > 13.0
玉米,C-Q13,L2,我想培育一种大型的观赏棒子，有没有那种穗子特别长、中间的轴还是红色的玉米品种？,"穗长, 轴色",穗长 > 20；轴色 LIKE '%红%'
玉米,C-Q14,L2,帮我找找能抢农时的极早熟玉米品种：种下去不到十天必须全出苗，而且整个生长周期不能超过100天。,"生育日数, 播种至出苗日数",播种至出苗日数 < 10；生育日数 < 100
玉米,C-Q15,L2,找一些营养价值极高但很难养活的贵族玉米品种：赖氨酸要破0.5%的大关，但千粒重却很可怜。,"赖氨酸, 千粒重",赖氨酸 > 0.5；千粒重 < 200
玉米,C-Q16,L2,有没有那种从国外拿回来的玉米品种，做爆米花特别好的爆裂型底料？最好还是白色的粒。,"原产国, 粒型, 粒色",原产国 != '中国'；粒型 LIKE '%爆裂%'；粒色 LIKE '%白%'
玉米,C-Q17,L2,我想找个淀粉含量稳在七成左右的常规玉米品种，不求出油多，但单粒重量得跟上。,"粗总淀粉, 千粒重",粗总淀粉 BETWEEN 68 AND 72；粗脂肪 < 4.0；千粒重 > 280
玉米,C-Q18,L2,推荐几个外观奇特的观赏玉米品种：比如它的籽粒是紫色的，但这穗子的轴偏偏又是白色的。,"粒色, 轴色",粒色 LIKE '%紫%'；轴色 LIKE '%白%'
玉米,C-Q19,L2,有没有那种果穗长得又短又胖的奇葩玉米品种？,"穗长, 穗粗",穗长 < 10；穗粗 > 5.0
玉米,C-Q20,L2,找一下能在高纬度冷凉地区种的玉米品种，要求生长时间长来慢慢积累养分，最后长成超大粒。,"生育日数, 千粒重",生育日数 > 140；千粒重 > 350
玉米,C-Q21,L3,我想挑战一下培育完美的‘铁杆大棒’，玉米品种：要求植株绝对矮化防倒，但果穗却要逆天的大，同时重心还得稳，穗位不能超过60公分。,"株高, 穗位高, 穗长, 穗粗",株高 <= 180；穗长 > 22；穗粗 > 5.5；穗位高 <= 60
玉米,C-Q22,L3,帮我捞几个能做‘超级高能饲料’的玉米品种：必须是马齿型好消化，油水要大，蛋白要足，就连通常不高的赖氨酸也得硬生生拔到0.4%以上，而且千粒重绝对不能拖后腿。,"粒型, 赖氨酸, 粗脂肪, 粗蛋白, 千粒重",粒型 LIKE '%马齿%'；粗脂肪 > 6.0；粗蛋白 > 14.0；赖氨酸 > 0.4；千粒重 > 300
玉米,C-Q23,L3,急需一种能在西北干旱缩水期抢着种的救命粮，玉米品种：出苗必须极度迅猛，整个生命周期压缩在90天以内完事，为了弥补生长时间短，叶片数量不能太少保证光合作用。,"生育日数, 播种至出苗日数, 主茎叶片数",播种至出苗日数 <= 5；生育日数 <= 90；主茎叶片数 >= 15
玉米,C-Q24,L3,有没有适合做高密度密植的理想型玉米品种：植株冲高到两米五以上争抢阳光，但为了不倒伏，结穗的黄金分割点必须极低，而且得是出油率极低的专用提纯粉类型。,"株高, 穗位高, 粗脂肪, 粗总淀粉",株高 > 250；穗位高 < 70；粗脂肪 < 3.0；粗总淀粉 > 72
玉米,C-Q25,L3,我想复原一种古老的彩色糯玉米：它必须同时具备纯黑的籽粒、紫红色的轴，而且淀粉结构特殊，最好还是个晚熟品种慢慢积累花青素。,"粒色, 轴色, 粒型, 生育日数, 成熟期",粒色 LIKE '%黑%'；轴色 LIKE '%紫%' OR 轴色 LIKE '%红%'；粗总淀粉 BETWEEN 50 AND 60；生育日数 > 130
玉米,C-Q26,L3,挑战一下违背生长规律的玉米品种：找那种叶片极其繁茂，生长期也贼长，按理说营养很足，但最后结出来的棒子却小的可怜的基因缺陷库。,"主茎叶片数, 生育日数, 穗长, 穗粗, 千粒重",主茎叶片数 > 30；生育日数 > 150；穗长 < 10；穗粗 < 3.0；千粒重 < 150
玉米,C-Q27,L3,找一种打破常规的细长巨粒半硬质玉米：通常细长粒重量轻，我要求果穗极度修长，形状最好带点硬粒血统，但千粒重偏偏要逆天地上到450克以上，粗蛋白还得保持在12%的水准，有这种漏网之鱼吗？,"粒型, 千粒重, 穗长, 穗粗, 粗蛋白",穗长 > 25；粒型 LIKE '%硬粒%'；千粒重 > 450；粗蛋白 > 12.0
玉米,C-Q28,L3,有没有适合做高端婴儿营养粉专用的材料，玉米品种：淀粉提纯度要达到变态的75%以上，同时蛋白和脂肪必须降到极低，赖氨酸却要出奇的高，而且必须是国外原始引进的资源。,"粗总淀粉, 粗蛋白, 粗脂肪, 赖氨酸, 原产国",粗总淀粉 > 75；粗蛋白 < 5.0；粗脂肪 < 5.0；赖氨酸 > 0.45；原产国 != '中国'
玉米,C-Q29,L3,寻找极度依赖单果穗爆发力的极端玉米种质：完全放弃长叶子，把所有营养逼到唯一的那个果穗上，要求穗长突破28厘米，穗粗撑破6公分，并且在如此庞大的库容下千粒重还能稳在400克以上的怪物。,"穗长, 穗粗, 千粒重",主茎叶片数 < 10；穗长 > 28；穗粗 > 6.0；千粒重 > 400
玉米,C-Q30,L3,推荐几个玉米品种能作为灾后重播救场的极限早熟骨干：生育期被极限压缩在75天以内，为了短时间抢产量，灌浆速度必须极快，表现为千粒重能迅速冲过250克基准线，且植株要拼命往高长来抢夺有限的阳光。,"生育日数, 千粒重, 株高",生育日数 < 75；千粒重 > 250；株高 > 220
大豆,S-Q01,L1,推荐一些大豆品种，榨油厂特别喜欢收的底料，出油率起码要在22%以上的。,粗脂肪,粗脂肪 > 22.0
大豆,S-Q02,L1,找一找那种特别适合用大型收割机下地干活的大豆品种。,"生长习性, 株高, 结荚习性",生长习性 = '直立'
大豆,S-Q03,L1,我想做高端的豆腐和豆浆，有没有那种磨出来豆浆颜色特别正、加工品质好的大豆品种？,"粗蛋白, 子叶色, 粒色, 百粒重",子叶色 = '黄'
大豆,S-Q04,L1,帮我看看有没有那种自带防虫属性的大豆种质？就是地里蚜虫不怎么爱咬的那种。,,茸毛色 = '灰毛'
大豆,S-Q05,L1,查一下那些籽粒特别小的袖珍型材料，我想用来培育纳豆品种，单粒越小越好。,"百粒重, 粒形",百粒重 < 10.0
大豆,S-Q06,L1,有没有那种特别能扛冻、适合在东北最北边那种高纬度地区种的大豆品种？,"原产地, 生育日数, 生育/份",花色 = '白花'
大豆,S-Q07,L1,找一些结荚特别紧凑、熟得很集中的底子，最好一次性就能全收完的大豆品种。,"结荚习性, 生长习性, 生育/份",结荚习性 = '有限'
大豆,S-Q08,L1,推荐几个专门补充植物蛋白的大豆品种，含量必须要越过48%这道坎。,"粗蛋白, 种质名称",粗蛋白 > 48.0
大豆,S-Q09,L1,帮我找找那些在地里像藤蔓一样爬着长的原始或者半原始类型大豆品种。,"生长习性, 类型","生长习性 IN ('蔓生', '半蔓生')"
大豆,S-Q10,L1,库里有没有那种剥开黑色的皮，里面的仁却是绿色的特色豆子？,"粒色, 子叶色",粒色 LIKE '%黑%'；子叶色 = '绿'
大豆,S-Q11,L2,需要找个能在黑龙江北部大面积机械化快收的大豆品种：必须能适应高纬度，而且植株绝对不能趴地，结荚得一块儿熟。,"生育/份, 生育日数, 生长习性, 结荚习性, 株高, 原产地",花色 = '白花'；生长习性 = '直立'；结荚习性 = '有限'
大豆,S-Q12,L2,有没有适合做高档出口毛豆的大粒大豆品种？籽粒得极其饱满，而且里面必须是黄色的好品相。,"百粒重, 子叶色",百粒重 > 25.0；子叶色 = '黄'
大豆,S-Q13,L2,我想找一种打破常规的“双高”潜力股大豆品种：既能榨出很多油，又能做高蛋白饲料，这种极品有吗？,"粗脂肪, 粗蛋白",粗脂肪 > 20.0；粗蛋白 > 46.0
大豆,S-Q14,L2,帮我捞几个抗虫又好收割的完美株型大豆品种：自带抗蚜虫的灰色外衣，长得笔挺，但是个头别太高，80公分封顶。,"株高, 茸毛色, 结荚习性, 生长习性",茸毛色 = '灰毛'；生长习性 = '直立'；株高 <= 80
大豆,S-Q15,L2,找一些可以在南方做夏播或者秋播的大豆品种，要求生长期特别短，三个月内必须结账。,"生育日数, 生育/份","类型 IN ('夏', '秋', '夏/秋')；生育日数 <= 90"
大豆,S-Q16,L2,有没有那种从国外弄回来的，长得像野草一样疯长的藤蔓型大豆品种资源？我想用来做牧草。,"原产国, 生长习性, 株高",原产国 != '中国'；株高 > 150；生长习性 LIKE '%蔓生%'
大豆,S-Q17,L2,推荐几个外观“表里不一”的大豆品种：比如它的种皮是黄色的，但种子上的那个“肚脐眼”偏偏是黑色的。,"粒色, 脐色",粒色 LIKE '%黄%'；脐色 LIKE '%黑%'
大豆,S-Q18,L2,我想培育一种极度丰产的“大头娃娃”大豆品种：植株矮化得很厉害，但结出来的豆子巨大。,"株高, 百粒重",株高 < 50；百粒重 > 28
大豆,S-Q19,L2,查一下有没有叶子长得很圆润，并且开紫色花的常规春大豆？,"叶形, 花色, 类型, 生育/份",叶形 LIKE '%圆%'；花色 = '紫花'；类型 LIKE '%春%'
大豆,S-Q20,L2,找一下那种营养特别极端、很难作为口粮的大豆品种资源：蛋白低得可怜，但脂肪含量却异常逼近极值。,"粗蛋白, 粗脂肪",粗蛋白 < 35.0；粗脂肪 > 23.0
大豆,S-Q21,L3,我想挑战培育完美的‘全能型商业机械豆’：它必须高度自律，植株卡在70到85厘米最完美收割区，自带抗虫灰外衣，适应高纬度白花，而且加工出来的品相必须是顶级的黄仁。,"株高, 茸毛色, 花色, 子叶色",生长习性='直立'；结荚习性='有限'；株高 BETWEEN 70 AND 85；茸毛色='灰毛'；花色='白花'；子叶色='黄'
大豆,S-Q22,L3,帮我捞几个能做‘极限营养液’的大豆品种：要求打破生理常态，不仅蛋白必须高，脂肪也绝不能妥协，也得高，而且这颗豆子还得极其硕大，有这种神仙基因吗？,"粗蛋白, 粗脂肪, 百粒重",粗蛋白 > 48.0；粗脂肪 > 22.0；百粒重 > 30.0
大豆,S-Q23,L3,急需一种能在灾后补种抢时间的大豆品种：生命周期被极限压缩在75天以内完事，为了弥补长得快导致的不熟，它必须是那种熟得很集中的类型，而且百粒重绝不能掉下18克的正常及格线。,"生育日数, 结荚习性, 百粒重",生育日数 <= 75；结荚习性 = '有限'；百粒重 > 18.0
大豆,S-Q24,L3,有没有适合做超级热带牧草的狂野型大豆品种：从国外拿回来的，生长期拖得贼长拼命长叶子，植株窜到两米以上到处爬，但是结的豆子极其袖珍，完全就是长草不长果的漏网之鱼。,"原产国, 生长习性, 株高, 生育日数, 百粒重, 类型",原产国 != '中国'；生育日数 > 150；株高 > 200；生长习性 LIKE '%蔓生%'；百粒重 < 5.0
